ratorID,rateeID,TableID,AgrRate,CreatedDate,AgrDate,Slot_1,Slot_2,Slot_3,Slot_4,Slot_5,Slot_6,Slot_7,Slot_8
130,389,0017,5,2025-01-13 19:44:00,2025-01-13 10:00:00,0,1,0,0,0,0,1,1
389,130,,3,2025-01-13 19:44:00,2025-01-13 10:00:00,1,0,1,0,1,1,0,0
350,2,,5,2025-01-20 19:08:00,2025-01-22 12:00:00,0,0,1,0,0,1,1,1
2,350,0207,4,2025-01-20 19:08:00,2025-01-22 12:00:00,0,0,0,0,1,0,0,0
382,135,,2,2025-01-29 03:37:00,2025-02-02 10:00:00,1,0,1,0,1,0,0,0
135,382,0230,1,2025-01-29 03:37:00,2025-02-02 10:00:00,0,0,1,1,1,0,1,0
4,247,,3,2025-01-04 20:12:00,2025-01-07 14:00:00,1,0,0,0,1,0,0,1
247,4,0314,2,2025-01-04 20:12:00,2025-01-07 14:00:00,0,0,1,0,1,1,0,0
428,159,,4,2025-01-24 21:32:00,2025-01-26 10:00:00,1,1,1,1,1,1,1,0
159,428,0101,3,2025-01-24 21:32:00,2025-01-26 10:00:00,0,1,1,0,0,0,0,0
76,302,,1,2025-01-23 13:52:00,2025-01-26 10:00:00,1,1,1,1,1,0,1,0
302,76,0201,2,2025-01-23 13:52:00,2025-01-26 10:00:00,0,0,0,1,0,0,1,0
366,17,0213,2,2025-01-18 22:56:00,2025-01-18 13:00:00,0,1,1,1,0,0,1,1
17,366,,3,2025-01-18 22:56:00,2025-01-18 13:00:00,1,1,0,1,0,1,0,1
201,331,,4,2025-01-17 08:50:00,2025-01-19 16:00:00,1,1,0,0,1,0,1,1
331,201,0112,5,2025-01-17 08:50:00,2025-01-19 16:00:00,1,1,0,1,0,0,0,0
70,367,,5,2025-02-01 11:01:00,2025-02-06 11:00:00,1,1,1,1,1,1,1,0
367,70,0239,5,2025-02-01 11:01:00,2025-02-06 11:00:00,0,0,0,0,0,0,0,0
420,483,0345,5,2025-01-18 07:41:00,2025-01-20 13:00:00,0,1,1,0,1,0,1,0
483,420,,3,2025-01-18 07:41:00,2025-01-20 13:00:00,1,1,1,0,1,0,0,1
204,231,0347,3,2025-01-04 11:06:00,2025-01-07 12:00:00,1,1,1,1,1,1,1,1
231,204,,3,2025-01-04 11:06:00,2025-01-07 12:00:00,0,0,0,0,0,0,0,0
392,481,,4,2025-01-03 21:28:00,2025-01-06 15:00:00,0,0,1,1,1,1,1,1
481,392,0236,5,2025-01-03 21:28:00,2025-01-06 15:00:00,1,1,1,1,1,0,0,0
440,81,0002,1,2025-01-10 02:29:00,2025-01-10 18:00:00,1,1,1,1,1,1,0,0
81,440,,1,2025-01-10 02:29:00,2025-01-10 18:00:00,0,0,0,0,0,0,1,1
170,106,,1,2025-01-22 01:06:00,2025-01-26 18:00:00,1,1,1,1,0,0,0,0
106,170,0338,2,2025-01-22 01:06:00,2025-01-26 18:00:00,0,0,0,0,0,1,1,1
196,64,0201,4,2025-01-04 19:59:00,2025-01-05 12:00:00,1,0,0,1,1,1,0,0
64,196,,3,2025-01-04 19:59:00,2025-01-05 12:00:00,0,0,1,0,0,1,1,0
445,369,,2,2025-01-17 10:13:00,2025-01-22 12:00:00,1,0,1,1,0,0,1,0
369,445,0203,2,2025-01-17 10:13:00,2025-01-22 12:00:00,0,1,0,0,0,1,1,1
250,492,,2,2025-01-23 15:20:00,2025-01-26 15:00:00,0,0,1,0,1,1,0,0
492,250,0021,5,2025-01-23 15:20:00,2025-01-26 15:00:00,0,0,1,1,0,0,0,0
490,476,0226,4,2025-01-23 04:41:00,2025-01-23 18:00:00,0,1,0,1,1,1,1,1
476,490,,3,2025-01-23 04:41:00,2025-01-23 18:00:00,1,1,1,0,0,0,1,1
236,124,0016,2,2025-01-22 18:20:00,2025-01-25 14:00:00,0,0,1,0,0,0,0,1
124,236,,3,2025-01-22 18:20:00,2025-01-25 14:00:00,0,1,0,0,0,1,1,1
309,46,0023,5,2025-01-02 07:33:00,2025-01-06 12:00:00,0,1,1,1,1,1,1,0
46,309,,1,2025-01-02 07:33:00,2025-01-06 12:00:00,1,0,0,0,0,1,0,1
221,463,,5,2025-01-19 16:51:00,2025-01-20 16:00:00,0,0,1,0,0,1,1,1
463,221,0228,3,2025-01-19 16:51:00,2025-01-20 16:00:00,1,0,1,1,1,1,0,0
189,18,,3,2025-01-11 21:50:00,2025-01-13 12:00:00,0,0,0,0,1,0,1,1
18,189,0237,1,2025-01-11 21:50:00,2025-01-13 12:00:00,0,1,0,0,0,1,1,1
308,326,,2,2025-01-10 02:28:00,2025-01-11 15:00:00,0,1,0,1,1,1,1,1
326,308,0350,3,2025-01-10 02:28:00,2025-01-11 15:00:00,1,1,0,1,0,0,0,0
92,22,,1,2025-01-31 17:22:00,2025-02-01 18:00:00,1,1,1,0,0,1,1,1
22,92,0216,4,2025-01-31 17:22:00,2025-02-01 18:00:00,1,0,1,1,1,0,0,0
116,16,,4,2025-01-11 14:10:00,2025-01-16 10:00:00,0,1,0,0,1,1,1,0
16,116,0122,4,2025-01-11 14:10:00,2025-01-16 10:00:00,1,0,1,1,0,0,0,1
25,71,,3,2025-01-08 15:58:00,2025-01-11 11:00:00,0,1,1,1,1,0,0,0
71,25,0209,4,2025-01-08 15:58:00,2025-01-11 11:00:00,0,1,0,0,1,0,1,0
328,58,0234,5,2025-01-31 04:45:00,2025-02-05 14:00:00,1,1,1,1,0,1,0,0
58,328,,3,2025-01-31 04:45:00,2025-02-05 14:00:00,0,0,0,0,0,0,0,1
427,438,0330,3,2025-01-13 15:55:00,2025-01-13 14:00:00,0,0,1,1,1,1,1,1
438,427,,3,2025-01-13 15:55:00,2025-01-13 14:00:00,0,0,0,0,0,0,0,0
28,376,0109,1,2025-01-13 08:55:00,2025-01-14 16:00:00,0,1,1,1,1,1,0,0
376,28,,1,2025-01-13 08:55:00,2025-01-14 16:00:00,0,0,1,0,0,0,0,0
191,477,,1,2025-01-08 22:50:00,2025-01-09 13:00:00,1,0,1,1,1,0,0,0
477,191,0028,1,2025-01-08 22:50:00,2025-01-09 13:00:00,1,1,0,0,0,1,0,0
