ratorID	rateeID	TableID	AgrRate	AgrDate
131	163	0336	4	2025-02-01
163	131	0336	3	2025-02-01
76	302	0201	1	2025-01-23
302	76	0201	3	2025-01-23
328	360	0024	4	2025-01-08
360	328	0024	1	2025-01-08
479	499	0123	3	2025-01-28
499	479	0123	4	2025-01-28
369	83	0312	2	2025-01-24
83	369	0312	5	2025-01-24
73	425	0105	2	2025-01-07
425	73	0105	1	2025-01-07
433	461	0124	1	2025-01-04
461	433	0124	4	2025-01-04
387	30	0313	3	2025-01-09
30	387	0313	3	2025-01-09
269	218	0226	1	2025-01-06
218	269	0226	3	2025-01-06
418	170	0003	1	2025-01-07
170	418	0003	1	2025-01-07
90	393	0219	2	2025-01-13
393	90	0219	2	2025-01-13
118	233	0222	5	2025-01-21
233	118	0222	5	2025-01-21
120	50	0107	4	2025-01-09
50	120	0107	3	2025-01-09
422	430	0119	5	2025-01-25
430	422	0119	5	2025-01-25
122	238	0008	2	2025-01-27
238	122	0008	3	2025-01-27
297	79	0220	2	2025-02-01
79	297	0220	4	2025-02-01
440	78	0237	3	2025-01-02
78	440	0237	2	2025-01-02
457	185	0347	1	2025-01-19
185	457	0347	3	2025-01-19
215	413	0121	5	2025-01-20
413	215	0121	3	2025-01-20
189	389	0009	3	2025-01-20
389	189	0009	4	2025-01-20
182	353	0350	1	2025-01-30
353	182	0350	3	2025-01-30
31	69	0330	1	2025-01-21
69	31	0330	1	2025-01-21
384	16	0336	4	2025-01-05
16	384	0336	1	2025-01-05
179	231	0247	2	2025-01-02
231	179	0247	2	2025-01-02
439	464	0245	2	2025-01-13
464	439	0245	3	2025-01-13
12	177	0012	1	2025-01-17
177	12	0012	3	2025-01-17
89	27	0112	3	2025-01-09
27	89	0112	2	2025-01-09
381	157	0029	4	2025-01-13
157	381	0029	4	2025-01-13
279	49	0114	2	2025-01-11
49	279	0114	4	2025-01-11
488	320	0333	4	2025-01-13
320	488	0333	2	2025-01-13
390	350	0225	2	2025-01-22
350	390	0225	1	2025-01-22
367	95	0222	4	2025-01-18
95	367	0222	3	2025-01-18
197	17	0231	5	2025-01-25
17	197	0231	1	2025-01-25
322	36	0245	5	2025-01-30
36	322	0245	5	2025-01-30
114	416	0021	3	2025-01-30
416	114	0021	4	2025-01-30
128	44	0325	4	2025-01-04
44	128	0325	1	2025-01-04
264	63	0346	4	2025-01-31
63	264	0346	2	2025-01-31
209	295	0343	1	2025-01-06
295	209	0343	1	2025-01-06
298	155	0312	3	2025-01-02
155	298	0312	3	2025-01-02
354	244	0113	1	2025-01-25
244	354	0113	3	2025-01-25
