StudentID	Emoji
6	fire
11	air
17	water
23	earth
27	air
32	water
39	fire
47	earth
52	water
58	air
68	air
82	water
91	earth
92	air
113	earth
123	air
132	water
136	fire
149	air
160	fire
161	earth
164	water
179	air
181	air
194	fire
211	water
237	fire
238	earth
242	air
245	fire
254	fire
262	earth
265	water
271	air
294	fire
299	fire
325	air
331	water
348	fire
355	earth
357	fire
374	water
376	earth
386	earth
388	water
395	earth
421	earth
432	water
436	fire
437	earth
438	earth
448	air
458	earth
465	earth
466	air
467	air
499	earth
