TableID	HasComputer
0001	0
0002	0
0003	0
0004	0
0005	0
0006	0
0007	0
0008	0
0009	1
0010	0
0011	0
0012	1
0013	1
0014	0
0015	0
0016	1
0017	0
0018	1
0019	0
0020	0
0021	0
0022	0
0023	1
0024	0
0025	0
0101	0
0102	0
0103	0
0104	1
0105	0
0106	0
0107	0
0108	0
0109	0
0110	0
0111	0
0112	0
0113	0
0114	0
0115	0
0116	0
0117	0
0118	0
0119	1
0120	0
0201	1
0202	1
0203	1
0204	0
0205	0
0206	0
0207	0
0208	0
0209	0
0210	1
0211	0
0212	0
0213	0
0214	0
0215	0
0216	1
0217	0
0218	1
0219	0
0220	1
0221	1
0222	0
0223	0
0224	0
0225	0
0226	0
0227	0
0228	1
0229	0
0230	0
0231	0
0232	0
0233	0
0234	1
0235	0
0236	0
0237	0
0238	0
0239	0
0240	0
0301	0
0302	0
0303	0
0304	0
0305	0
0306	1
0307	0
0308	0
0309	0
0310	0
0311	0
0312	0
0313	0
0314	0
0315	0
0316	0
0317	0
0318	0
0319	1
0320	0
0321	0
0322	1
0323	0
0324	0
0325	0
0326	0
0327	0
0328	1
0329	0
0330	0
